fiscal_year,agency_name,payee_name,payee_cleaned,payee_zip,amount
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ANNE ARUNDEL FIRE PROTECTION INC *USE SUPPLIER 311055,ANNE ARUNDEL FIRE INSPECTION INC.,21061,157187
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AON CONSULTING INC,AON CONSULTING INC,60673,120398
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APEX COMPANIES LLC,APEX COMPANIES LLC,21203,143512
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APEX LEARNING INC,APEX LEARNING INC,98161,245838
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLE & EVE LLC,APPLE & EVE LLC,10050,248764
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLE INC,APPLE INC,30384,1019560
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLE INC,APPLE INC,95014,32
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLICATIONS SOFTWARE TECHNOLOGY LLC,APPLICATIONS SOFTWARE TECHNOLOGY LLC,60563,3912730
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ARCHITECTURE INC,ARCHITECTURE INC,20191,350019
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ARIES BUILDING SYSTEMS LLC,ARIES BUILDING SYSTEMS LLC,77028,837320
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ARK SYSTEMS INC,ARK SYSTEMS INC,21045,45731
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ASBESTOS SPECIALISTS INC,ASBESTOS SPECIALISTS INC,21075,102450
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ASHLAND EQUIPMENT INC.,ASHLAND EQUIPMENT INC.,21017,129886
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ASSOCIATED CATHOLIC CHARITIES INC,ASSOCIATED CATHOLIC CHARITIES INC.,21093,379113
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ASSOCIATED PROFESSIONAL REHABILITATION SERVICES INC,ASSOCIATED PROFESSIONAL REHABILITATION SERVICES INC,20833,165507
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AT&T,AT&T,60197,40040
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AT&T MOBILITY II LLC,AT&T MOBILITY II LLC,60197,410012
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ATERA PRIME INC,ATERA PRIME INC,91109,40067
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ATLANTECH ONLINE INC,ATLANTECH ONLINE INC,20910,841212
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AUDIO VISUAL INNOVATIONS INC,AUDIO VISUAL INNOVATIONS INC,21264,28018
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"AUTOMATIC NURSING CARE SERVICES, INC","AUTOMATIC NURSING CARE SERVICES, INC",20912,98503
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AUTOMOTIVE SUPPORT SERVICES INC,AUTOMOTIVE SUPPORT SERVICES INC,20868,125772
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AZTECH DATASYSTEMS INC,AZTECH DATASYSTEMS INC,17403,94054
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AZUR CART & CAPTIONING,AZUR CART & CAPTIONING,33548,33567
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,B & H FOTO & ELECTRONICS CORP,B & H FOTO & ELECTRONICS CORP,10087,191578
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,B W WILSON PAPER COMPANY INC,B.W. WILSON PAPER COMPANY INC.,23230,1851377
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,B&B CONCEPTS INC,B&B CONCEPTS INC,21771,155656
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BALDWIN LINE CONSTRUCTION OF MARYLAND INC,BALDWIN LINE CONSTRUCTION OF MARYLAND INC,21075,56857
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BALTIMORE LAB SCHOOL INC,BALTIMORE LAB SCHOOL INC,21218,103617
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BANC OF AMERICA PUBLIC CAPITAL CORP,BANC OF AMERICA PUBLIC CAPITAL CORP,02915,68123
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BANC OF AMERICA PUBLIC CAPITAL CORP,BANC OF AMERICA PUBLIC CAPITAL CORP,30384,26314654
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"BANNISTER, JOI","BANNISTER, JOI",20607,46631
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BAPTIST CONVENTION OF MD/DE,BAPTIST CONVENTION OF MD/DE,19939,135291
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BARNES & NOBLE BOOKSELLERS INC,BARNES & NOBLE BOOKSELLERS INC.,75395,107746
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BARWOOD MANAGEMENT LLC,BARWOOD MANAGEMENT LLC,20879,40699
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BATES TRUCKING COMPANY INC,BATES TRUCKING COMPANY INC.,20710,532117
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BELL TECHLOGIX INC,BELL TECHLOGIX INC,19182,2084576
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BENCHMARK EDUCATION COMPANY LLC,BENCHMARK EDUCATION COMPANY LLC,10801,5864448
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BENEDICTINE SCHOOL,BENEDICTINE SCHOOL,21660,1571937
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BENEFIT STRATEGIES LLC,BENEFIT STRATEGIES LLC,03105,8655130
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BGE,BGE,19101,429546
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BIG STUFF INC,BIG STUFF INC,20743,43728
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BLACKBOARD INC,BLACKBOARD INC.,46240,437045
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BLICK ART MATERIALS LLC,BLICK ART MATERIALS LLC,60678,38121
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOARD OF CHILD CARE OF THE UNITED METHODIST CHURCH INC,BOARD OF CHILD CARE OF THE UNITED METHODIST CHURCH INC,21244,87771
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOARD OF EDUCATION OF BALTIMORE COUNTY,BOARD OF EDUCATION OF BALTIMORE COUNTY,21204,105973
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOARD OF EDUCATION PRINCE GEORGE'S,BOARD OF EDUCATION PRINCE GEORGE'S,20772,110580
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOB MCCLOSKEY AGENCY LLC,BOB MCCLOSKEY AGENCY LLC,07747,109948
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOBS OVERHEAD DOOR REPAIR & SERVICE INC,BOBS OVERHEAD DOOR REPAIR & SERVICE INC,21221,111290
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOILER & FURNACE CLEANERS INC,BOILER & FURNACE CLEANERS INC,20722,327148
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOLAND TRANE SERVICES INC,BOLAND TRANE SERVICES INC,20153,1394828
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOWINGS & HUBER LLC,BOWINGS & HUBER LLC,21074,374434
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BOWMAN SALES & EQUIPMENT INC,BOWMAN SALES & EQUIPMENT INC,21795,77189
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BRAWNER BUILDERS INC,BRAWNER BUILDERS INC,21031,38000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BRIGGS CHANEY WALK IN CLINIC LLC,BRIGGS CHANEY WALK IN CLINIC LLC,20904,35550
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BRIGHTVIEW HOLDINGS INC,BRIGHTVIEW HOLDINGS INC,30374,223543
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BRINJAC ENGINEERING INC- A NELSON COMPANY,BRINJAC ENGINEERING INC.,19182,390993
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BROOK LANE HEALTH SERVICES INC,BROOK LANE HEALTH SERVICES INC,21742,2107052
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUCH CONSTRUCTION INC,BUCH CONSTRUCTION INC,20723,6479721
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUILDING AUTOMATION SERVICES INC,BUILDING AUTOMATION SERVICES INC,22079,30395
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUILDING AUTOMATION SERVICES INC,BUILDING AUTOMATION SERVICES INC,22122,4831
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUILDING DYNAMICS LLC,BUILDING DYNAMICS LLC,20832,88884
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUNN LLC,BUNN LLC,20850,147302
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BURKE SPORTS CONSTRUCTION GROUP INC,BURKE SPORTS CONSTRUCTION GROUP INC.,33172,659255
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BURMAX COMPANY INC,BURMAX COMPANY INC,11742,35886
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUS PATROL AMERICA LLC,BUS PATROL AMERICA LLC,22079,7307873
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUSINESS SOFTWARE INC,BUSINESS SOFTWARE INC,30092,32455
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,BUSY SERVICE INC,BUSY SERVICE INC,20882,26741
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,C. ARCHER AND ASSOCIATES,C. ARCHER AND ASSOCIATES LLC,17070,57711
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,C. N. ROBINSON LIGHTING SUPPLY CO INC,C. N. ROBINSON LIGHTING SUPPLY CO INC,21264,162135
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CA INC,CA INC,19178,75820
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CALFED FINANCIAL CORP,CALFED FINANCIAL CORP,46063,354358
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CALICO PACKAGING LLC,CALICO PACKAGING LLC,15251,127514
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CALVERT COUNTY PUBLIC SCHOOLS,CALVERT COUNTY PUBLIC SCHOOLS,20678,31272
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CANON FINANCIAL SERVICES INC,CANON FINANCIAL SERVICES INC,60693,219193
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CANON SOLUTIONS AMERICA INC,CANON SOLUTIONS AMERICA INC,60693,186734
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"CANTWELL - CLEARY CO., INC","CANTWELL - CLEARY CO., INC",21075,57033
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CAPITOL DOCUMENT SOLUTIONS LLC,CAPITOL DOCUMENT SOLUTIONS LLC,20852,999902
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CARE.COM INC,CARE.COM INC,02451,132363
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CARGILL KITCHEN SOLUTIONS INC,CARGILL KITCHEN SOLUTIONS INC,02241,237344
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CARGILL MEAT SOLUTIONS CORPORATION,CARGILL MEAT SOLUTIONS CORPORATION,02241,137770
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"CARNEY, KELEHAN, BRESLER, BENNETT & SCHERR LLP","CARNEY, KELEHAN, BRESLER, BENNETT & SCHERR LLP",21044,805688
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CAROLINA BIOLOGICAL SUPPLY CO,CAROLINA BIOLOGICAL SUPPLY CO,28260,97767
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CCG SYSTEMS INC,CCG SYSTEMS INC,23452,66870
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CDW GOVERNMENT LLC,CDW GOVERNMENT LLC,60675,169677
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CDW LLC,CDW LLC,60675,30640539
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CEDAR RIDGE CHILDREN'S HOME & SCHOOL INC,CEDAR RIDGE CHILDREN'S HOME & SCHOOL INC,21795,44508
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CENGAGE LEARNING INC,CENGAGE LEARNING INC.,31193,106991
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CENGAGE LEARNING INC,CENGAGE LEARNING INC.,60694,24584
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CENTENNIAL CONTRACTORS ENTERPRISES INC,CENTENNIAL CONTRACTORS ENTERPRISES INC.,20190,451853
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CENTER FOR AUTISM AND RELATED DISORDERS LLC,CENTER FOR AUTISM AND RELATED DISORDERS LLC,91367,69220
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CENTRAL MARYLAND INTERNATIONAL TRUCKS LLC,CENTRAL MARYLAND INTERNATIONAL TRUCKS LLC,21227,28419
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CHELSEA SCHOOL,CHELSEA SCHOOL,20782,165217
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CHESAPEAKE COMMUNICATIONS INC,CHESAPEAKE COMMUNICATIONS INC,23236,79395
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CHIMES INC,CHIMES INC,21215,31328
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CHINESE FOOD SOLUTIONS INC,CHINESE FOOD SOLUTIONS INC,44193,65450
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CIRCLE ELECTRIC INC,CIRCLE ELECTRIC INC,20852,32351
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CITY OF ROCKVILLE,CITY OF ROCKVILLE,20850,311908
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CLAIRE WEISZ ARCHITECTS LLP,CLAIRE WEISZ ARCHITECTS LLP,10013,339229
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CLARK ASSOCIATES INC,CLARK ASSOCIATES INC,17602,181686
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"CLARK AZAR & ASSOCIATES, INC",CLARK AZAR & ASSOCIATES INC.,20874,349440
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CLAYWORKS SUPPLY INC,CLAYWORKS SUPPLIES INC.,21209,28806
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CLIFTONLARSONALLEN LLP,CLIFTONLARSONALLEN LLP,19182,130000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CLINTON LEARNING SOLUTIONS LLC,CLINTON LEARNING SOLUTIONS LLC,20603,83210
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COASTAL ACQUISITION CORPORATION,COASTAL ACQUISITION CORPORATION,20794,204792
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COLLEGE ENTRANCE EXAMINATION BOARD,COLLEGE ENTRANCE EXAMINATION BOARD,10087,473531
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"COLLEGETRACKS, INC","COLLEGETRACKS, INC",20910,650000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"COLOSSAL CONTRACTORS, INC","COLOSSAL CONTRACTORS, INC",20866,453972
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMBUSTIONEER CORPORATION,COMBUSTIONEER CORPORATION,20706,37564
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMCAST,COMCAST,02241,15010
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMCAST,COMCAST,19101,826947
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMCAST,COMCAST,19176,4756
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMMISSIONERS OF POOLESVILLE,COMMISSIONERS OF POOLESVILLE,20837,36605
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMMUNITY PRODUCTS LLC,COMMUNITY PRODUCTS LLC,12471,83412
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMMUNITY PRODUCTS LLC,COMMUNITY PRODUCTS LLC,12487,73880
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMMUNITY SERVICES FOR AUTISTIC ADULTS AND CHILDREN,COMMUNITY SERVICES FOR AUTISTIC ADULTS AND CHILDREN,20886,793137
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COMMUNITY SUPPORT SERVICES,COMMUNITY SUPPORT SERVICES,20877,3250659
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CONAGRA BRANDS INC,CONAGRA BRANDS INC,60693,320425
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CONCENTRIC EDUCATIONAL SOLUTIONS INC,CONCENTRIC EDUCATIONAL SOLUTIONS INC,20008,36713
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"CONSOLIDATED COMMERCIAL SERVICES, LLC","CONSOLIDATED COMMERCIAL SERVICES, LLC",20904,60532
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CONSTELLATION NEWENERGY INC,CONSTELLATION NEWENERGY INC,21275,126931
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CONTROL SOURCES LLC,CONTROL SOURCES LLC,21221,946862
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COOPER BUILDING SERVICES LLC,COOPER BUILDING SERVICES LLC.,21703,720165
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COUGHLAN COMPANIES LLC,COUGHLAN COMPANIES LLC,60677,55252
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COUGHLAN COMPANIES LLC,COUGHLAN COMPANIES LLC,60689,245701
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,COX SUBSCRIPTIONS INC,COX SUBSCRIPTIONS INC,28470,42989
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CRAIG GAULDEN & DAVIS INC,CRAIG GAULDEN & DAVIS INC,29601,342608
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CREATIVITY FIRST LLC,CREATIVITY FIRST LLC,20904,27930
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CRISIS PREVENTION INSTITUTE INC,CRISIS PREVENTION INSTITUTE INC,53224,42743
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CRISWELL CHEVROLET INC,CRISWELL CHEVROLET INC,20878,160078
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CRISWELL NISSAN OF GERMANTOWN LLC,CRISWELL NISSAN OF GERMANTOWN LLC,20874,39986
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CRISWELL PERFORMANCE CARS INC,CRISWELL PERFORMANCE CARS INC,20878,259263
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CULINARY VENTURES MARYLAND,CULINARY VENTURES MARYLAND,20736,1057422
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CUMMINS POWER SYSTEMS LLC,CUMMINS POWER SYSTEMS LLC,19178,45257
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,CURRICULUM ASSOCIATES LLC,CURRICULUM ASSOCIATES LLC,31193,1153881
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"CURVATURE, INC","CURVATURE, INC",60693,69362
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DABOTER INC,DABOTER INC,33020,250808
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DAIKIN APPLIED AMERICAS INC,DAIKIN APPLIED AMERICAS INC,60673,2072121
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DAIRY MAID DAIRY LLC,DAIRY MAID DAIRY LLC,21701,3361374
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DAKTRONICS INC,DAKTRONICS INC,55486,78256
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"DAMAS, STANISLAW","DAMAS, STANISLAW",80231,52532
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DANONE US INC,DANONE US INC,19170,30660
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DATA NETWORKS OF AMERICA INC,DATA NETWORKS OF AMERICA INC,21031,2217538
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DAWKINS MANAGEMENT INC,DAWKINS MANAGEMENT INC,21601,161726
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DAYBREAK CANYON LLC,DAYBREAK CANYON LLC,83837,50600
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DEALMED MEDICAL SUPPLIES LLC,DEALMED MEDICAL SUPPLIES LLC,11234,32018
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DELL MARKETING LP,DELL MARKETING LP,60680,237399
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DELMAR ARCHITECTS PA,DELMAR ARCHITECTS PA,20832,703426
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"DELTA ENGINEEERS, ARCHITECTS & LAND SURVEYORS DPC","DELTA ENGINEERS, ARCHITECTS & LAND SURVEYORS DPC",13760,86883
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DEMCO INC,DEMCO INC,53708,45891
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DEMPSEY UNIFORM AND LINEN SUPPLY INC,DEMPSEY UNIFORM AND LINEN SUPPLY INC,18434,37893
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DENVER-ELEK INC,DENVER-ELEK INC,21221,2387029
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DESIGN COLLECTIVE INC,DESIGN COLLECTIVE INC,21202,64982
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DIDAX INC,DIDAX INC,01969,328080
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DIGITAL CREW LIMITED,DIGITAL CREW LIMITED,T23AX,26775
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DIGITAL INFORMATION SERVICES LLC,DIGITAL INFORMATION SERVICES LLC,20854,25607
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION INC,DISCOVERY EDUCATION INC,21279,324550
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DIVERSIFIED EDUCATIONAL SYSTEMS INC,DIVERSIFIED EDUCATIONAL SYSTEMS INC,20118,363609
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DLA PIPER RUDNICK GRAY CARY US LLP,DLA PIPER RUDNICK GRAY CARY US LLP,21275,84343
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DLR GROUP OF DC PC,DLR GROUP OF DC PC,20004,515290
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DLT SOLUTIONS LLC,DLT SOLUTIONS LLC,30374,25971
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,DON JOHNSTON INC,DON JOHNSTON INC,60073,32548
